"poster_path","text_prompt","author_id","independent_of_ground_truth"
"37643.png","Create a modern home-lighting poster with a compact text panel at middle-left and a small logo at middle-right, leaving the ceiling lamp fully visible.","5","yes"
"56981.png","Create a clinical skincare poster with refined title text at top-left, short benefit text at top-right, and a small logo at bottom-right, leaving both bottles unobstructed.","5","yes"
"65819.png","Create a practical storage poster with bold title text at top-center, three short icon-and-text features at top-left, top-center, and top-right, and a small logo at top-right.","5","yes"
"34439.png","Create a warm baby-feeding poster with large title text at top-left, two benefit text lines at middle-left, a small icon at top-center, and a logo at top-right.","5","yes"
"26983.png","Create a luxurious skincare poster with elegant title text at top-center, short benefit text at top-left, and a small logo at top-right, keeping every jar visible.","5","yes"
"46750.png","Create a clean reflective skincare poster with title text at top-center, a subtle ripple-water decoration at middle-center, and a small logo at top-left, keeping the bottles unobstructed.","4","yes"
"47697.png","Create a bright lifestyle beverage poster with minimal title text at top-right, short descriptive text at middle-right, and a small logo at top-left, keeping the drink and coffee tin unobstructed.","4","yes"
"33573.png","Create a soothing wellness poster with calm title text at top-left, two benefit text lines at middle-left, and a small logo at top-right, keeping the product and feet clear.","5","yes"
"54005.png","Create a rugged watch poster with bold title text at bottom-center, two short feature text blocks at bottom-center, and a small logo at bottom-right, leaving the watch unobstructed.","5","yes"
"60090.png","Create a luxe holographic cosmetics poster with refined title text at top-left, short benefit text at middle-left, and a small logo at top-right, keeping the compact case unobstructed.","4","yes"
"5203.png","Create a futuristic tech-themed mattress poster with bold title text at top-center, a thin border panel at middle-center, and a small logo at bottom-left, keeping the mattress unobstructed.","4","yes"
"27932.png","Create a romantic beauty poster with a soft gradient panel at bottom-center containing title text, short text at bottom-center, and a small logo at top-right, keeping the portrait unobstructed.","4","yes"
"61671.png","Create a clean car-accessory poster with title text at top-left, short feature text at top-right, icons at bottom-left and bottom-right, and a logo at bottom-center.","5","yes"
"51021.png","Create a modern desk-lamp poster with bold title text at top-right, short benefit text at middle-right, and a small logo at top-center, leaving the lamp and astronaut clear.","5","yes"
"44138.png","Create a youthful fashion poster with a slim text panel at middle-left and a small logo at bottom-left, keeping the model’s face and outfit unobstructed.","5","yes"
"78261.png","Create a soft pink lifestyle poster for cotton pads with title text at top-left, short text at middle-left, and a small logo at bottom-right, keeping the packaging and luggage unobstructed.","4","yes"
"23470.png","Create a smart-irrigation poster with bold title text at top-right, short feature text boxes at middle-right, and a logo at bottom-left, keeping the timer device unobstructed.","4","yes"
"31042.png","Create a comfortable lounge-chair poster with title text at top-center, two short benefit text boxes at top-left and top-right, and a small logo at top-right.","5","yes"
"16637.png","Create a premium coffee-machine poster with large title text at top-center, two feature text lines at middle-center, and a small logo at top-left, leaving the appliance unobstructed.","5","yes"
"45308.png","Create a fresh sunscreen poster with large title text at top-center, supporting text at middle-center, a sun icon, and a small logo at top-right.","5","yes"
"62687.png","Create a minimalist bedroom poster with bold title text at top-center, two icon-and-text features at bottom-left and bottom-right, and a small logo at bottom-right.","5","yes"
"38001.png","Create a refined blue skincare poster with small title text at top-left, a molecular decoration at bottom-right, and a thin border decoration, keeping the serum bottle unobstructed.","4","yes"
"68034.png","Create a professional kitchen-equipment poster with bold title text at top-right, three short feature text blocks at middle-right, and a small logo at top-left, keeping both appliances unobstructed.","5","yes"
"20695.png","Create an energetic sports poster with bold title text and short promotional text in a panel at bottom-left, plus a small logo at top-right.","5","yes"
"39578.png","Create a home-cooling poster with large title text at top-center, supporting text at top-left, and a small logo at top-right, leaving the air conditioner unobstructed.","5","yes"
"55819.png","Create a medical device poster with title text at top-center, brief benefit text in a panel at middle-right, and a logo at top-right, leaving the tester unobstructed.","5","yes"
"52543.png","Create a dreamy footwear poster with title text at top-left, supporting text at top-right, and a small logo at top-center, keeping the slippers and moon visible.","5","yes"
"72985.png","Create a cheerful lifestyle poster with bold title text at top-center, short text at middle-center, and a small logo at bottom-left, keeping the two men and fruit unobstructed.","4","yes"
"19820.png","Create a refined fashion poster with elegant title text at top-right, supporting text at middle-right, and a small logo at bottom-right, keeping the model’s face and outfit clear.","5","yes"
"29443.png","Create an automotive-care poster with bold title text at top-center, three icon-and-text benefits at bottom-left, bottom-center, and bottom-right, plus a logo at top-right, keeping both wipers clear.","5","yes"
"39473.png","Create a youthful footwear poster with bold title text in a panel at bottom-center, supporting text at bottom-center, and a small logo at bottom-right, keeping the shoes clear.","5","yes"
"75377.png","Create a playful family-game poster with cheerful title text at top-right, short promotional text at middle-right, and a small logo at bottom-right, keeping the game components clear.","5","yes"
"18087.png","Create a warm home-lighting poster with elegant title text at top-right, short descriptive text at middle-right, and a small logo at top-left, leaving the lamp unobstructed.","5","yes"
"18699.png","Create a festive red diaper poster with bold title text at middle-center, confetti and ribbon decorations at top-left, top-right, and bottom-right, plus a logo at bottom-left, keeping the packaging unobstructed.","4","yes"
"82000.png","Create a health-supplement poster with strong title text at top-center, two benefit text lines at middle-center, and a small logo at top-left, leaving the products and hands clear.","5","yes"
"78160.png","Create a bold household-product poster with a slim translucent text panel at bottom-center and a small logo at top-right, keeping both roll openings visible.","5","yes"
"72205.png","Create a warm wooden-furniture poster showing two headboard styles stacked, with a small panel at top-left containing title text and a logo at bottom-right, keeping both beds visible.","4","yes"
"65530.png","Create a practical packaging poster with bold title text at top-left, short feature text at top-right, and a small logo at top-center, keeping the open box visible.","5","yes"
"56280.png","Create a fresh dairy poster with bold title text at top-center, a DNA-strand underlay at middle-center, and short text at bottom-center, keeping the milk powder tins unobstructed.","4","yes"
"17574.png","Create an artistic avant-garde fashion collage poster with title text at top-left, scribble decorations at top-right, bottom-left, and bottom-right, plus a small logo at bottom-center, keeping the models visible.","4","yes"
"64328.png","Create a contemporary fashion poster with title text at top-left, supporting text at middle-left, and a small logo at bottom-left, keeping the model’s face and outfit clear.","5","yes"
"34521.png","Create a dynamic blue poster with bold title text at top-left, short feature text at middle-left, and a small logo at bottom-right, keeping the splashing sponge unobstructed.","4","yes"
"33462.png","Create an industrial equipment poster with bold title text at top-center, three short feature text blocks at middle-center, and a small logo at top-left, keeping the machine clear.","5","yes"
"13984.png","Create a smart-security poster with a slim text panel at top-left, three feature icons at middle-left, and a logo at bottom-left, avoiding the handle and smartphone.","5","yes"
"22705.png","Create a fresh gourmet poster with bold title text at top-center, two short benefit text blocks at middle-center, and a small logo at top-left, keeping the food and jars clear.","5","yes"
"42859.png","Create a clean skincare poster with refined title text at top-center, benefit text at top-right, and a small logo at top-left, leaving the tube unobstructed.","5","yes"
"75539.png","Create a modern teal skincare poster with minimal title text at middle-left, short product text at bottom-left, and a small logo at bottom-right, keeping the spray bottles unobstructed.","4","yes"
"79990.png","Create a minimalist footwear poster with bold title text at top-center, short caption text at middle-center, and a small logo at top-right, keeping both shoe angles unobstructed.","4","yes"
"66019.png","Create a premium food poster with elegant title text at top-left, supporting text at middle-left, and a small logo at top-right, leaving both meat cuts unobstructed.","5","yes"
"83654.png","Create a refreshing beverage poster with bold title text at top-center, two benefit text lines at middle-center, and a small logo at top-left, keeping the pouch clear.","5","yes"
"19867.png","Create a playful snack poster with large title text at top-center, short promotional text at middle-center, a small decoration, and a small logo at top-left.","5","yes"
"69646.png","Create a clean menswear poster with minimal title text at top-right, short descriptive text at middle-right, and a small logo at top-left, keeping the model and jeans unobstructed.","4","yes"
"13137.png","Create a premium automotive-interior poster with elegant title text at top-left, supporting text at middle-left, and a small logo at top-right, leaving the seats unobstructed.","5","yes"
"75087.png","Create an elegant interior-design poster with refined title text at bottom-left, short descriptive text at bottom-left, and a small logo at top-right, keeping the desk and artwork unobstructed.","4","yes"
"79643.png","Create a premium wellness poster with elegant title text at top-center, benefit text at top-left, and a small logo at top-right, leaving the bottle unobstructed.","5","yes"
"23154.png","Create a professional fashion poster with a slim text panel at middle-right and a logo at bottom-right, keeping the model’s face and outfit completely clear.","5","yes"
"77862.png","Create a modern projector poster with title text at top-left, two feature text lines at middle-left, and a small logo at top-center, keeping both devices clear.","5","yes"
"23922.png","Create a modern cleaning-appliance poster with a compact panel at top-left containing title text, supporting text at middle-left, and a small logo at top-right, keeping the vacuums and cat clear.","5","yes"
"46691.png","Create a minimalist fashion poster with small title text at top-right, short caption text at middle-right, and a tiny logo at top-left, keeping the model and vest unobstructed.","4","yes"
"60052.png","Create a minimalist menswear poster with a vertical text panel at middle-left and a small logo at top-right, keeping the model’s face and clothing unobstructed.","5","yes"
"11506.png","Create a clean industrial equipment poster with a gradient blue background panel, bold title text at top-left, and short spec text at bottom-right, keeping the gantry hoist unobstructed.","4","yes"
"13142.png","Create a clean pharmaceutical poster with bold title text at top-right, short feature text at middle-right, and a small logo at top-left, keeping the vials and packaging unobstructed.","4","yes"
"10453.png","Create a playful yellow beverage poster with bold title text at top-center, short caption text at middle-center, and a small logo at bottom-left, keeping the floating box and fruit props unobstructed.","4","yes"
"7975.png","Create a soft handwritten-style skincare poster with playful title text at top-left, short caption text at middle-left, and a small logo on an underlay at bottom-left, keeping the bottles unobstructed.","4","yes"
"46543.png","Create an artisanal tea poster with elegant title text at top-left, short story text at middle-left, and a small logo at top-right, keeping the teapot and hands clear.","5","yes"
"80506.png","Create a luxurious purple skincare poster with bold title text at top-center, benefit text at middle-center, and a small logo at top-left, keeping the serum bottles unobstructed.","4","yes"
"50843.png","Create a vibrant pink kitchen-appliance poster with bold title text at top-center, short feature text at middle-center, and a small logo at bottom-left, keeping the blender unobstructed.","4","yes"
"66688.png","Create a playful character poster with whimsical title text at top-center, short promotional text at middle-center, and a small logo at top-left, keeping every toy visible.","5","yes"
"40914.png","Create a luxury jewelry poster with elegant title text at top-center, short descriptive text at middle-center, and a small logo at top-left, keeping the ring unobstructed.","5","yes"
"65383.png","Create a festive skincare poster with bold title text at top-center, two short benefit text blocks at middle-center, and a small logo at top-left, keeping all products clear.","5","yes"
"52414.png","Create a luxury skincare poster with bold title text at bottom-center, supporting text at bottom-center, a small decoration at bottom-left, and a logo at bottom-right.","5","yes"
"63476.png","Create an ambient outdoor-lighting poster with small title text at bottom-center, short feature text at bottom-center, and a subtle logo at bottom-right, keeping the light fixture unobstructed.","4","yes"
"61021.png","Create a warm bakery poster with bold title text at top-left, supporting text at middle-left, and a small logo at bottom-right, leaving the packaged bread fully visible.","5","yes"
"32308.png","Create a commercial kitchen-equipment poster with title text at top-left, two feature text lines at middle-left, and a small logo at top-right, keeping the machinery unobstructed.","5","yes"
"51919.png","Create an industrial cable poster with bold title text at top-center, supporting text at top-left, and a small logo at top-right, leaving the spool unobstructed.","5","yes"
"60845.png","Create a soft pastel baby-shoes poster with title text at top-center, small clothespin and dried-flower decorations at middle-center, and a logo at bottom-right, keeping the items unobstructed.","4","yes"
"30428.png","Create a bold blue skincare poster with title text on a panel at top-center and three unobstructed product bottles at bottom-center.","4","yes"
"62853.png","Create a floral hair-care poster with large title text at top-center, promotional text on a panel at top-left, and a small logo at top-right.","5","yes"
"39068.png","Create a futuristic display poster with a compact panel at top-left containing title text, short feature text at top-right, and a small logo at bottom-right, keeping the device unobstructed.","5","yes"
"35746.png","Create a festive furniture poster with bold title text at bottom-center, supporting text at bottom-center, a small decoration, and a small logo at bottom-right.","5","yes"
"7751.png","Create a natural beauty poster with elegant title text at top-right, two benefit text lines at middle-right, and a small logo at top-center, leaving the oil and flowers clear.","5","yes"
"12875.png","Create a practical medical-equipment poster with a small compliance text panel at top-center, short title text at middle-center, and a logo at bottom-left, keeping the wheelchair unobstructed.","4","yes"
"63380.png","Create a premium dark-toned liquor poster with bold title text at top-right, short fine-print text at bottom-right, and a small logo at top-left, keeping the jar unobstructed.","5","yes"
"87513.png","Create a premium mattress poster with large title text at top-center, two icon-and-text benefits at top-left and top-right, and a small logo at top-right.","5","yes"
"38206.png","Create a casual streetwear poster with bold title text in a panel at top-right, short caption text at middle-right, and a small logo at top-left, keeping the model unobstructed.","5","yes"
"81038.png","Create an artisanal teaware poster with elegant title text at top-center, short story text at middle-center, a small decoration, and a small logo at top-left.","5","yes"
"83852.png","Create a professional industrial poster with bold title text at top-left, two specification text lines at middle-left, and a small logo at bottom-left.","5","yes"
"75396.png","Create a luxurious black-and-gold skincare poster with minimal title text at top-left, fine-print text at bottom-right, and a small logo on an underlay, keeping the jars unobstructed.","4","yes"
"71844.png","Create an elegant furniture poster with bold title text at top-center, two icon-and-text features at middle-left and middle-right, and a small logo at top-right, leaving the table unobstructed.","5","yes"
"26597.png","Create a premium coffee poster with elegant title text at top-center, a short text line at middle-center, and a small logo at top-right, leaving the cup unobstructed.","5","yes"
"33050.png","Create a premium hair-care poster with refined title text at top-center, two benefit text lines at middle-center, and a small logo at top-left, leaving both bottles unobstructed.","5","yes"
"49723.png","Create a soft flat-lay lingerie poster with title text at top-right, short descriptive text at middle-right, and a small logo at top-left, keeping the bras and props unobstructed.","4","yes"
"83363.png","Create a dramatic dark-red electronics poster with bold title text at top-center, short feature text at middle-center, and a small logo at bottom-right, keeping the TV screen unobstructed.","4","yes"
"83469.png","Create a streetwear fashion poster with bold title text at top-left, short feature text at middle-left, and a small logo at top-right, keeping the model unobstructed.","4","yes"
