"poster_path","text_prompt","author_id","independent_of_ground_truth"
"6370.png","Create a warm furniture poster with bold title text at top-right, supporting text at middle-right, and a small logo at top-left, keeping the sofa unobstructed.","2","yes"
"6171.png","Create a cute baby-accessories poster with title text at top-right, short text at middle-right, and a small logo at top-left, keeping the child and hat unobstructed.","3","yes"
"8790.png","Create a rustic restaurant-branded packaging poster with title text at top-left, short descriptive text at middle-left, and a plant icon at bottom-left, keeping the boxes unobstructed.","3","yes"
"7713.png","Create a warm nursery-organization poster with bold title text at top-right, short feature text at middle-right, and a small logo at top-left, keeping the storage cart unobstructed.","3","yes"
"822.png","Create a minimalist skincare poster with bold title text at top-left, short benefit text at top-right, and a logo at top-center, leaving the bottle completely clear.","2","yes"
"814.png","Create a premium body-spray poster with large title text at top-center, two benefit text lines at middle-center, a feature icon, and a logo at top-left.","1","yes"
"5723.png","Create a vibrant orange sportswear poster with bold title text at top-center, short feature text at middle-center, and a small logo at bottom-left, keeping the pants unobstructed.","3","yes"
"7987.png","Create an elegant dark-green home-decor poster with title text at top-center, short caption text at bottom-center, and a small logo at top-left, keeping the lamps unobstructed.","3","yes"
"8183.png","Create a flavorful food poster with bold title text at top-center, supporting text at middle-center, an icon at top-right, and a small logo at top-left.","2","yes"
"6475.png","Create a gourmet food poster with large title text at top-center, supporting text at middle-center, and a small logo at top-right, keeping the dish and ingredient bowl unobstructed.","2","yes"
"5137.png","Create a minimalist clothing poster with refined title text at top-left, supporting text at bottom-left, and a small logo at top-right.","1","yes"
"3190.png","Create a rugged outdoor tool poster with bold title text in a white panel at top-center, short feature text at middle-center, and a small logo at top-right, keeping the knife unobstructed.","3","yes"
"1013.png","Create a clean dermatology poster with large title text at bottom-center, short benefit text at bottom-center, and a small logo at bottom-left, leaving both products unobstructed.","2","yes"
"683.png","Create a family dental-care poster with bold title text at top-center, supporting text at middle-center, three small feature icons, and a logo at top-left.","2","yes"
"1800.png","Create an elegant lingerie poster with title text at top-right, two benefit text boxes at middle-right and bottom-right, and a logo at bottom-right, leaving the garment fully visible.","2","yes"
"2123.png","Create a refined beauty poster with a translucent text panel and short caption text at bottom-left, plus a logo at bottom-right, keeping the face and product unobstructed.","2","yes"
"3582.png","Create an elegant fashion poster with bold title text at top-left, short descriptive text at middle-left, an icon, and a small logo at bottom-right.","1","yes"
"8585.png","Create a playful product poster with large title text at top-center, short promotional text at middle-center, and a small logo at top-left, keeping both packages completely unobstructed.","2","yes"
"1990.png","Create a soft skincare poster with title text at top-left, two benefit text lines at top-right, and a small logo at top-center, keeping the jar and hand clear.","2","yes"
"5243.png","Create a vibrant audio poster with bold title text at bottom-center, two short feature text blocks at bottom-center, and a small logo at bottom-right.","2","yes"
"1106.png","Create a soft floral cleaning-product poster with title text at top-left, feature text at middle-left, and a small logo at top-right, keeping the spray bottles unobstructed.","3","yes"
"8575.png","Create a fashion textile poster with bold title text at bottom-left, two short text boxes at bottom-center, and a logo at bottom-right, preserving the fabric details.","2","yes"
"9182.png","Create an outdoor mobility poster with large title text at top-center, two short text boxes at top-left and top-right, and a small logo at bottom-right.","1","yes"
"7313.png","Create a modern mobility poster with bold title text at top-left, three short feature text blocks at middle-left, and a logo at top-right.","1","yes"
"9787.png","Create a clean healthcare-product poster with title text at top-left, short benefit text at middle-left, and a small brand logo at top-right, keeping the monitor unobstructed.","3","yes"
"7263.png","Create a premium appliance poster with title text in a white panel at top-center, supporting text at top-left, and a logo at top-right, avoiding the central appliance.","2","yes"
"3888.png","Create a wellness poster with bold title text at middle-right, supporting text at bottom-right, and a small logo at top-center, keeping the woman’s face and body unobstructed.","2","yes"
"2937.png","Create a rugged outdoor backpack poster with bold title text at top-left, short feature text at middle-left, and a small logo at bottom-right, keeping the rider and bag unobstructed.","3","yes"
"473.png","Create a soft lingerie poster with title text at top-left, brief promotional text at top-right, and a small logo at bottom-left, leaving both products fully visible.","2","yes"
"3297.png","Create a warm wooden furniture poster with minimal title text at top-left, short descriptive text at middle-left, and a small logo at top-right, keeping the tea cabinet unobstructed.","3","yes"
"4237.png","Create a skincare poster with bold title text at top-left, two short benefit text blocks at top-right, and a small logo at top-center, leaving the hands and product clear.","2","yes"
"9558.png","Create a fresh blue-sky laundry-detergent poster with bold title text at top-left, feature text at middle-left, and a small logo at top-right, keeping the bottles unobstructed.","3","yes"
"4320.png","Create a practical home-living poster with a slim text panel at middle-left and a logo at bottom-left, keeping the woman’s face and body clear.","2","yes"
"8488.png","Create an elegant handbag poster with refined title text at top-right, short descriptive text at middle-right, and a small logo at top-left, keeping the model and bag unobstructed.","3","yes"
"4437.png","Create a premium television poster with large title text at top-center, supporting text at middle-center, and a small logo at top-right, leaving the screen unobstructed.","2","yes"
"791.png","Create a healthcare recruitment poster with a slim panel at top-center containing title text and a small logo at top-right, keeping every face completely visible.","2","yes"
"5922.png","Create a bold dark supplement poster with large title text at top-center, short benefit text at middle-center, and a small icon at bottom-right, keeping the bottles unobstructed.","3","yes"
"6974.png","Create a luxury handbag poster with bold title text at top-left, supporting text at top-right, and a small logo at top-center, keeping both bags unobstructed.","2","yes"
"1757.png","Create a practical kitchen-knife poster with bold title text at top-center, short feature text at middle-center, and a small logo at top-left, keeping the cleaver and meat unobstructed.","3","yes"
"7663.png","Create a premium wine poster with elegant title text at top-center, supporting text at middle-center, and a small logo at top-left, keeping every bottle and the wooden case unobstructed.","2","yes"
"4169.png","Create a modern appliance poster with bold title text at top-left, feature text at middle-left, and a logo at bottom-right, keeping the refrigerator unobstructed.","3","yes"
"190.png","Create a modern home-appliance poster with bold title text at top-left, short feature text at middle-left, and a small logo at top-right, keeping the vacuum unobstructed.","3","yes"
"6279.png","Create a refined fashion poster with a slim panel at middle-left containing title text, supporting text at bottom-left, and a small logo at top-right.","1","yes"
"6114.png","Create a warm bakery poster with bold title text at top-left, short descriptive text at middle-left, price text on a small panel at top-right, and a logo at bottom-right.","1","yes"
"3663.png","Create a modern water-dispenser poster with bold title text at top-center, two benefit text lines at top-left, and a small logo at top-right.","1","yes"
"9694.png","Create an elegant floral poster with graceful title text at top-center, short greeting text at middle-center, an icon, and a logo at top-left.","2","yes"
"5325.png","Create a traditional liquor poster with elegant title text at top-left, supporting text at middle-left, an icon, and a logo at top-right.","1","yes"
"2431.png","Create a baby-nutrition poster with bold title text at top-left, three benefit text boxes in a panel at middle-center, and a logo at top-right.","1","yes"
"9075.png","Create a refreshing hair-care poster with bold title text at top-left, three benefit text boxes at middle-left, and a logo at bottom-left.","2","yes"
"7036.png","Create a traditional tea poster with elegant title text at top-left, short story text at middle-left, and a small logo at top-right.","1","yes"
"7505.png","Create an elegant new-Chinese-style furniture poster with vertical title text at top-left, quotation-mark underlays, and supporting text at bottom-center, keeping the tea table unobstructed.","3","yes"
"7591.png","Create a minimalist smartphone poster with bold title text at top-center, short caption text at middle-center, and a small brand logo at bottom-left, keeping the phone unobstructed.","3","yes"
"6409.png","Create a cheerful snack poster with a compact panel at top-left containing bold title text and two benefit text lines, plus a small logo at middle-left.","2","yes"
"3821.png","Create a modern furniture poster with large title text at top-center, short descriptive text at top-left, and a small logo at top-right.","1","yes"
"1201.png","Create a rugged tactical-gear poster with title text on a dark panel at bottom-left, feature text at bottom-right, and a logo at top-left.","1","yes"
"8814.png","Create a professional technology poster with bold title text at top-left, three short feature text blocks at middle-left, and a small logo at top-right.","1","yes"
"7549.png","Create a soft golden skincare poster with refined title text at top-center, ingredient text at middle-center, and a small logo at top-left, leaving the cleansing oil bottle unobstructed.","3","yes"
"4386.png","Create a luxury accessories poster with elegant title text in a panel at bottom-center, supporting text at bottom-center, and a small logo at bottom-right.","2","yes"
"4347.png","Create an elegant new-Chinese-style furniture poster with title text at top-left, short descriptive text at middle-left, and a small logo at top-right, keeping the furniture set unobstructed.","3","yes"
"5371.png","Create a minimalist footwear poster with title text at top-center, supporting text at bottom-center, offer text on a panel at bottom-left, and a logo at bottom-right.","1","yes"
"5007.png","Create a stylish menswear poster with large title text at top-center, a short text line at middle-center, and a logo at top-left, keeping the shirt unobstructed.","2","yes"
"1901.png","Create a practical hardware-product poster with bold title text in a dark panel at top-center, short usage text at middle-center, and small warning icons at top-right, keeping the hook rail unobstructed.","3","yes"
"4748.png","Create a premium watch poster with strong title text at top-center, short waterproof caption text at bottom-center, and a logo at top-right.","1","yes"
"9636.png","Create a refreshing beverage poster with bold title text at top-center, supporting text at middle-center, a logo at top-left, and promotional text on a small panel at top-right.","1","yes"
"6468.png","Create a bold red-and-yellow supplement poster with large title text at top-right, short benefit text at middle-right, and a small icon at bottom-right, keeping the bottles unobstructed.","3","yes"
"6246.png","Create a comfortable driving-accessory poster with title text at top-left, benefit text on a compact panel at middle-left, and a small logo at top-right.","1","yes"
"5815.png","Create a modern furniture poster with bold title text at top-left, three short feature text boxes at top-right, and a logo at top-right, leaving the table clear.","2","yes"
"8966.png","Create a practical home-organization poster with bold title text at top-right, short feature text at middle-right, and a small logo at top-left, keeping the shoe boxes unobstructed.","3","yes"
"2209.png","Create a premium dark-blue industrial poster with bold title text at top-center, short descriptive text at middle-center, and a small logo at bottom-left, keeping the foam rolls unobstructed.","3","yes"
"5016.png","Create a modern study-furniture poster with bold title text at top-left, supporting text at middle-left, and a small logo at top-right, leaving the desk and chair clear.","2","yes"
"5881.png","Create a sleek automotive tech poster with bold title text on a panel at top-left, short feature text at middle-left, and a small icon at bottom-right, keeping the display screen unobstructed.","3","yes"
"8403.png","Create a playful children’s bicycle poster with title text at top-center, two icon-and-text features at top-left and top-right, and a logo at top-left.","2","yes"
"7972.png","Create a luxurious blue-toned skincare poster with refined title text at top-right, benefit text at middle-right, and a small logo at top-left, keeping the product bottle unobstructed.","3","yes"
"8964.png","Create a clean vacuum advertisement with bold title text at top-center, two icon-and-text features at top-left and top-right, and a logo at bottom-right.","1","yes"
"6662.png","Create a warm pastel infant-formula poster with bold title text at bottom-center, supporting text at bottom-center, and an icon at bottom-left, keeping the can unobstructed.","3","yes"
"906.png","Create a clean lingerie poster with minimal title text at top-right, short descriptive text at middle-right, and a small logo at top-left, keeping the bra unobstructed.","3","yes"
"9628.png","Create a premium tea poster with refined title text at top-center, heritage text at middle-center, a logo at top-left, and an icon at top-right.","1","yes"
"4735.png","Create an audio-system poster with large title text at top-center, two feature text boxes at top-left and top-right, and a logo at top-left.","1","yes"
"6003.png","Create a professional fashion poster with a slim panel at middle-left containing title text and a logo at top-right, keeping the model’s face and outfit completely unobstructed.","1","yes"
"3347.png","Create a delicate lingerie poster with elegant title text at top-center, two feature text boxes at top-left and top-right, and a small logo at bottom-right.","1","yes"
"8805.png","Create an elegant wellness poster with large title text at top-center, short promotional text at middle-center, and a logo at top-left, keeping all product boxes visible.","2","yes"
"984.png","Create a casual menswear poster with bold title text at top-left, supporting text at middle-left, and a small logo at bottom-left, leaving the model and cargo shorts clear.","2","yes"
"6314.png","Create a refreshing beverage poster with strong title text on a translucent underlay at top-left, supporting text at middle-left, and a logo at top-right.","1","yes"
"5585.png","Create a vibrant food poster with bold title text at top-center, a translucent text underlay at middle-center, and a small logo at bottom-right.","1","yes"
"9530.png","Create a skincare poster with bold title text on a red panel at bottom-right, two short benefit text lines at bottom-right, and a small logo at top-right.","1","yes"
"5966.png","Create a natural hair-care poster with large title text at top-center, supporting text at top-left, and a small logo at top-right.","1","yes"
"9552.png","Create a dramatic dark-toned fitness apparel poster with bold title text at top-center, short caption text at middle-center, and a small logo at bottom-right, keeping the athlete unobstructed.","3","yes"
"9353.png","Create a dental-care poster with bold title text at top-left, three benefit text boxes at middle-left, and a small logo at top-right.","1","yes"
"6386.png","Create a dynamic footwear poster with large title text at top-center, feature text at bottom-left, price text on a panel at bottom-right, and a logo at top-left.","1","yes"
"3047.png","Create a modern appliance poster with bold title text at top-center, benefit text at top-left, a feature icon at top-right, and a logo at bottom-right.","1","yes"
"8130.png","Create an adventurous automotive poster with bold title text at top-center, supporting text at middle-center, a small icon, and a logo at top-left.","2","yes"
"2335.png","Create a chic fashion poster with minimal title text at top-right, short descriptive text at middle-right, and a small logo at top-left, keeping the model unobstructed.","3","yes"
"8591.png","Create an elegant beauty poster with a vertical text panel at middle-left, short caption text at bottom-center, and a logo at bottom-right.","1","yes"
"1443.png","Create a children’s furniture poster with playful title text at top-center, two feature text boxes at top-left and top-right, and a small logo at top-right.","1","yes"
"7508.png","Create a luxury eyewear poster with bold title text at bottom-center, supporting text at bottom-center, a feature icon at bottom-left, and a logo at bottom-right.","1","yes"
"5991.png","Create a stylish lip-color poster with large title text at top-center, short promotional text at middle-center, and a logo at top-left.","1","yes"
"7203.png","Create a premium skincare poster with refined title text at top-left, benefit text at top-right, and a small logo at top-center, leaving the products clear.","2","yes"
"9918.png","Create a personal-care poster with bold title text on a slim panel at middle-left, supporting text at bottom-left, and a small logo at bottom-right.","1","yes"
"7604.png","Create a creative studio poster with minimal title text at top-center, supporting text at middle-center, and a small logo at top-left, keeping the desk scene unobstructed.","3","yes"
"6884.png","Create a fresh dairy poster with large title text at bottom-center, two short text lines at bottom-center, and a logo at bottom-right.","2","yes"
"5042.png","Create a premium beverage poster with elegant title text at top-center, short story text at top-left, an icon, and a logo at top-right.","1","yes"
"5511.png","Create an energetic purple sportswear poster with bold title text at top-left, short slogan text at middle-left, and a small logo on an underlay at middle-center, keeping the jerseys unobstructed.","3","yes"
"2444.png","Create a soft romantic handbag poster with minimal title text at top-right, short descriptive text at middle-right, and a small logo at top-left, keeping the bag and model unobstructed.","3","yes"
